split,family,threshold,accuracy,precision_fraud,recall_fraud,f1_fraud,average_precision,roc_auc,tn,fp,fn,tp
validation,textcnn,0.6019405126571655,0.9640944881889764,0.6283185840707964,0.4965034965034965,0.5546875,0.5659201375080913,0.8892443308670221,2990,42,72,71
test,textcnn,0.6019405126571655,0.9574803149606299,0.5377358490566038,0.3986013986013986,0.4578313253012048,0.4890123964424516,0.8727973873092606,2983,49,86,57
